Date;2024-11-28 18:12:36;Config settings;{'BrownianMotion': {'N': 20, 'x0': 'np.random.randn(N, 2)', 'mu': 'np.random.randn(N,2)', 'D': 'np.random.randn(N, 2)', 'id': 'BrownianMotion'}, 'Fixed': {'N': 10, 'x0': 'np.random.randn(N, 2)', 'id': 'Fixed'}, 'integrator': {'dt': 0.01}, 'simulator': {'dt': 0.001, 'T': 1}, 'environment': {'dimensions': [100, 100]}, 'renderer': {'background_color': 'white', 'agent_colors': ['blue', 'red'], 'render_mode': 'pygame', 'render_dt': 0.01}, 'logger': {'log_freq': 0, 'save_freq': 10, 'comment_enable': False, 'log_path': '/../logs', 'log_name': ''}, 'repulsion': {'ity': 0.05, 'dis': 25}};Comment;
['Step', 0];['Population', 'BrownianMotion'];"['State', array([-0.68150538, -0.19903902, -0.68863298,  0.0400593 , -0.28966962,
        0.32890298,  0.69390437, -0.15268121, -0.16094108, -1.26040349,
       -0.74443298,  0.38812775,  1.22229555, -0.1888381 ,  0.56695198,
       -0.57657724,  0.39154195,  0.86824322,  0.6052269 ,  1.91307055,
        0.4362218 ,  0.31704707,  0.85071537,  1.15348509, -1.23092848,
        0.45995902,  0.72623197, -1.06912053, -0.9185395 , -1.66708205,
       -1.65777525, -1.11295471,  0.55370755,  0.64128809,  1.27188352,
        2.02151109,  1.44931437,  0.46441023, -0.36506405,  0.33732159])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";"['External forces', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";"['External forces', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
['Step', 10];['Population', 'BrownianMotion'];"['State', array([-0.72203004, -0.49734721, -1.61758772,  0.19904284,  0.14288296,
        1.12279795,  1.52357161, -0.68518155, -0.25909441, -1.8660034 ,
       -1.64602696,  1.05342584,  2.2724112 , -0.57593584,  1.261868  ,
       -1.23017576,  0.93308233,  0.9487721 ,  1.01518492,  2.68449205,
        0.84229109,  0.82242156,  1.2434255 ,  1.92480255, -2.2092787 ,
        0.385448  ,  1.19115771, -1.7585077 , -1.41031008, -2.97765767,
       -2.53019835, -1.25222667,  0.98061753,  1.19096312,  1.77361773,
        2.82905881,  2.40457928,  0.8971824 , -0.49322871,  1.09976684])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
['Step', 20];['Population', 'BrownianMotion'];"['State', array([-0.05491204, -1.24862469, -2.82234108,  0.4213739 , -0.07125076,
        1.94223715,  2.46737008, -1.19549051, -0.44725506, -2.97914568,
       -2.63365323,  1.70114464,  3.32401447, -0.40766924,  1.80111104,
       -1.79445065,  1.4361715 ,  2.27062517,  1.66592428,  3.47590244,
        1.42673675,  1.63508452,  1.87827822,  2.82774626, -3.1277163 ,
        0.7936332 ,  2.09126143, -2.60137605, -2.16372883, -3.22696795,
       -3.52774123, -1.79398632,  1.57381651,  1.94926871,  2.27744702,
        3.79284761,  3.41440948,  0.49864457, -0.25380805,  2.12091667])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
['Step', 30];['Population', 'BrownianMotion'];"['State', array([-0.08685796, -2.50274226, -3.91007847,  0.47073014, -0.94459405,
        3.13434087,  3.46620703, -1.80332736, -0.71947773, -3.8424227 ,
       -3.66411866,  2.2890078 ,  4.42564285, -0.85694856,  2.7344435 ,
       -2.47555025,  2.07619773,  1.776397  ,  2.32458103,  4.21402727,
        1.89620898,  2.73722798,  2.69630129,  3.5770708 , -4.26321349,
        1.07498454,  2.56432639, -3.55717695, -2.13128017, -5.78814306,
       -4.57111433, -1.37518017,  1.79661058,  2.85669714,  2.7792696 ,
        4.70709391,  4.49312265,  1.08215822,  0.09002277,  3.23894244])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
['Step', 40];['Population', 'BrownianMotion'];"['State', array([ 0.08677681, -3.59147521, -5.1376768 ,  0.53719068, -0.45198382,
        4.27370131,  4.38555915, -2.96637682, -0.9251078 , -4.88311492,
       -4.32631856,  2.95877454,  5.23317747, -1.32453508,  3.34966729,
       -3.57819427,  2.89229121,  2.53761203,  2.61746843,  4.9127173 ,
        2.19218702,  3.77615096,  3.18270302,  4.3834113 , -5.13397937,
        1.13178942,  3.12422372, -4.46097303, -2.66932303, -7.4416271 ,
       -5.51841198, -1.58204384,  1.875341  ,  3.77553864,  3.31218926,
        5.69779341,  5.45446547,  1.99925638,  0.10426376,  4.43544516])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
['Step', 50];['Population', 'BrownianMotion'];"['State', array([ 0.34444296, -4.84070184, -6.19668332,  0.48665576, -0.96785165,
        5.43590131,  5.27294997, -3.63774204, -1.29077701, -6.45065548,
       -5.09088739,  3.50318225,  6.38221334, -1.75141351,  3.62353909,
       -4.44941838,  3.67304251,  4.16967679,  3.44660488,  5.57382091,
        2.97734864,  4.27841618,  4.32064985,  5.04990057, -6.02983274,
        1.32492805,  3.54862688, -5.35396903, -2.57301637, -8.71515759,
       -6.4899434 , -2.54180094,  2.20566714,  4.73483193,  3.74735063,
        6.2771404 ,  6.36931012,  1.93983983,  0.60230298,  5.5800278 ])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
['Step', 60];['Population', 'BrownianMotion'];"['State', array([  0.71662075,  -5.94111703,  -7.0737746 ,   0.54835517,
        -1.67844222,   6.38800613,   6.03786787,  -3.85624377,
        -1.40197698,  -6.7222117 ,  -5.83896221,   4.17350686,
         7.40838948,  -2.17589008,   4.15155986,  -5.50694786,
         4.38374326,   4.65789037,   3.85416208,   6.19354117,
         3.65312369,   5.27143268,   4.87220932,   5.66413708,
        -7.08625652,   1.34059948,   3.85410584,  -6.24005019,
        -3.07172095, -10.12246143,  -7.27305488,  -2.92405536,
         2.46157577,   5.65261892,   4.21055693,   6.7990262 ,
         7.27157545,   2.0534174 ,   1.0753586 ,   6.73927856])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
['Step', 70];['Population', 'BrownianMotion'];"['State', array([  0.9127665 ,  -6.97812988,  -7.83402914,   0.3831532 ,
        -1.68972495,   7.38141156,   6.89881691,  -4.3533583 ,
        -1.81133545,  -7.33153072,  -6.59131713,   4.78535808,
         8.21345548,  -2.17707702,   4.83236551,  -6.49885225,
         5.00941006,   6.53232567,   4.36867174,   6.76422591,
         3.77276579,   6.02114172,   6.11195114,   6.31977002,
        -7.9662585 ,   1.50355373,   4.12437207,  -7.12815098,
        -3.64584825, -11.24636067,  -8.15715566,  -3.67072811,
         2.78862824,   6.54178919,   4.6952692 ,   7.48715297,
         8.12084041,   3.00729262,   1.37505644,   8.0664316 ])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
['Step', 80];['Population', 'BrownianMotion'];"['State', array([  1.51124069,  -7.9521242 ,  -8.83654775,   0.13691769,
        -1.01812242,   8.36360662,   7.64352061,  -4.68314362,
        -2.16740577,  -8.25186704,  -7.70971681,   5.47245149,
         9.12955987,  -2.42180068,   5.31866932,  -7.47432215,
         5.55660736,   8.08967884,   4.67478445,   7.29377033,
         3.96205485,   6.34762508,   6.83890544,   6.98807589,
        -8.82343714,   1.87043935,   4.83245196,  -7.78291937,
        -3.56572099, -11.90622496,  -9.10092702,  -3.80894877,
         3.2962156 ,   7.39981074,   5.05812639,   8.51711024,
         8.91886882,   3.48790817,   1.66754274,   9.12993467])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
['Step', 90];['Population', 'BrownianMotion'];"['State', array([ 1.59635718e+00, -8.85518728e+00, -9.68825988e+00,  8.67988175e-03,
       -1.73821248e+00,  9.27469494e+00,  8.40200506e+00, -5.45050392e+00,
       -2.31504680e+00, -9.06767981e+00, -8.56022128e+00,  6.00156749e+00,
        9.48433614e+00, -2.92866923e+00,  5.82678960e+00, -8.38097125e+00,
        6.06984916e+00,  7.34085605e+00,  5.12437701e+00,  7.79546380e+00,
        4.20077332e+00,  7.44998201e+00,  7.37409236e+00,  7.63612874e+00,
       -9.55935634e+00,  1.78219062e+00,  4.96833505e+00, -8.56114483e+00,
       -3.61496945e+00, -1.16246707e+01, -9.86170342e+00, -4.42558449e+00,
        3.73112992e+00,  8.19252401e+00,  5.45093318e+00,  9.34047188e+00,
        9.66270353e+00,  4.16273776e+00,  2.09384166e+00,  1.00724153e+01])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
['Step', 100];['Population', 'BrownianMotion'];"['State', array([ 1.57220112e+00, -9.86523577e+00, -1.05014797e+01, -9.69709474e-03,
       -2.46504547e+00,  1.01599456e+01,  9.07382362e+00, -6.19227097e+00,
       -2.77000900e+00, -9.67082558e+00, -9.53248678e+00,  6.50869592e+00,
        1.03741706e+01, -3.53871670e+00,  6.31240172e+00, -9.02427082e+00,
        6.61786065e+00,  8.15606300e+00,  5.73883922e+00,  8.26198435e+00,
        4.38279966e+00,  8.55902631e+00,  7.82942375e+00,  8.02835069e+00,
       -1.03140664e+01,  1.91790491e+00,  5.49391111e+00, -9.29046057e+00,
       -3.78617396e+00, -1.16686085e+01, -1.05492714e+01, -4.91153303e+00,
        4.72440433e+00,  8.94020032e+00,  5.75372524e+00,  9.71674427e+00,
        1.03640031e+01,  5.25943223e+00,  2.39602269e+00,  1.11021392e+01])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Fixed'];"['State', array([-0.64704283,  1.05722097, -0.06448429,  0.05498924, -0.65701308,
       -0.40201426,  1.70407942,  1.57715965,  1.4146859 ,  0.23330962,
        0.13858479, -1.39083274, -0.74966074, -0.38780681, -0.77489113,
       -0.86652242, -0.90406536,  0.13553183, -0.64284144,  0.23958759])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001A38F259AD0>],
      dtype=object)]"
