Date;2024-12-03 17:25:31;Config settings;{'BrownianMotion': {'N': 20, 'x0': '10 * np.random.randn(N, 2)', 'mu': '0', 'D': '0.1', 'id': 'Targets'}, 'SimpleIntegrators': {'N': 10, 'x0': '10 * np.random.randn(N, 2)', 'id': 'Herders'}, 'integrator': {'dt': 0.05}, 'simulator': {'dt': 0.05, 'T': 50}, 'environment': {'dimensions': [100, 100]}, 'renderer': {'background_color': 'white', 'agent_colors': ['blue', 'red'], 'render_mode': 'pygame', 'render_dt': 0.05}, 'logger': {'log_freq': 0, 'save_freq': 10, 'comment_enable': False, 'log_path': '/../logs', 'log_name': ''}, 'repulsion': {'ity': 3, 'dis': 2.5}};Comment;
['Step', 0];['Population', 'Targets'];"['State', array([ -7.94382227,  24.93274046,   1.6217836 ,   5.9096793 ,
        20.32096719, -15.79984498,  -2.66841783,  -3.59021509,
        16.15724977,  -6.92324179, -14.2044729 ,   1.11049339,
         4.98599243,   2.99947163, -10.05634033,   2.92181947,
         0.46644453,   1.3065926 ,  -7.97489749,  -1.10740779,
         9.15184511,   5.89985173,   2.03961914,   3.47366818,
         3.72850143,   2.87465477,  -0.18756104,   2.79399646,
        21.00291176, -13.54693526,  -7.22248731,   3.63461879,
        -2.83904804,  12.90160761,  -9.88005698,   2.67285082,
         0.35930598,  21.01474719,  -5.22960013, -10.30795655])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";"['External forces', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['Population', 'Herders'];"['State', array([ -8.22392685,   9.87574883,  -3.72684281, -16.2990759 ,
       -13.41718744,  -6.67476296,   7.86595731,   2.67530402,
        11.20808869,  -4.47851008,  13.98783198,   0.42276548,
        -3.18592015,  -0.8793733 , -13.44206644,  -7.00357058,
        -7.90480439,  -9.42783595,  -1.21540188,  -4.1407832 ])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";"['External forces', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
['Step', 10];['Population', 'Targets'];"['State', array([ -8.10741619,  25.04221318,   1.57549866,   5.85298937,
        20.32638259, -15.81888983,  -3.43784573,  -2.25180372,
        16.12386092,  -6.85263715, -14.04213829,   1.2510201 ,
         5.13361577,   3.14587563, -10.45565937,   3.05397214,
         0.51349382,   1.37526865,  -7.91226347,  -1.07493549,
         9.03594818,   7.07830108,   1.99607694,   3.40325313,
         3.67621617,   2.90794773,  -0.20658485,   2.89365252,
        21.08857487, -13.5182439 ,  -7.15291191,   3.76699099,
        -2.8261259 ,  12.84580771, -10.40943591,   3.09787882,
         0.39010869,  20.87857697,  -4.39972613, -10.15523567])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -8.05819284,  22.85346555,  -3.72684281, -16.2990759 ,
       -14.99681105,  -0.35950529,   9.78504019,   6.24409585,
        19.30533771, -14.19947361,  13.98783198,   0.42276548,
        -9.62757002,   2.47935706, -13.44206644,  -7.00357058,
        -5.90471894, -11.0248223 ,  -3.60301833,  -3.78884777])]";"['Control input', array([-1.52484094, 11.94911525,  0.        ,  0.        , -1.13126118,
        5.57942812,  1.38341077,  4.96434865,  6.96983305, -8.36315598,
        0.        ,  0.        , -6.53497783,  2.98442404,  0.        ,
        0.        ,  3.17701139, -1.13758274, -3.00054769,  2.33143489])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
['Step', 20];['Population', 'Targets'];"['State', array([ -7.31414777,  26.75822112,   1.614456  ,   5.85637455,
        20.58382691, -17.75209942,  -3.21567556,  -1.66534532,
        15.93565647,  -7.22567017, -13.17526352,   1.9361104 ,
         5.07913956,   3.27168597, -11.20318436,   3.6232521 ,
         0.44058189,   1.38876964,  -8.0336041 ,  -0.62605508,
         7.58569675,   7.59823122,   1.99703791,   3.30847483,
         3.61409204,   2.83627388,  -0.17243685,   2.83997675,
        21.26148303, -13.39503555,  -7.19185117,   3.72804161,
        -2.93856749,  12.86169416, -11.18550893,   3.68072858,
         0.34038316,  20.91781935,  -3.61853242,  -9.41252523])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -8.20589613,  26.32677324,  -3.72684281, -16.2990759 ,
       -14.83693349,   1.4155524 ,   9.23254962,   8.00111967,
        21.16801622, -16.95454309,  16.56049519,  -5.89505747,
        -5.48559749,  10.49386198, -13.44206644,  -7.00357058,
        -4.69651716, -10.91080196,  -7.34039822,  -1.01737754])]";"['Control input', array([ 1.1356015 ,  5.22817006,  0.        ,  0.        ,  1.23688984,
        2.32706281, -2.12384232,  1.80860507,  1.73800089, -4.86590572,
        1.94636344, -6.03860349,  8.24924769, 12.66429814,  0.        ,
        0.        ,  1.86798106,  0.87786685, -3.36266117, 18.76998855])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
['Step', 30];['Population', 'Targets'];"['State', array([ -5.69519326,  26.31562403,   1.61114099,   5.91082251,
        19.037175  , -18.29216407,  -3.28554991,  -1.58086883,
        14.80867376,  -8.00433771, -12.21340139,   2.11490053,
         5.04451071,   3.24229239, -11.18620498,   3.62818766,
         0.42585832,   1.3567211 ,  -9.74788454,  -2.12724703,
         6.65363446,   7.12432712,   1.80319814,   3.24555809,
         3.52257916,   2.85597012,  -0.14745032,   2.84886612,
        21.31433264, -13.36302715,  -7.03879894,   3.79081121,
        -2.6479084 ,  12.65155296, -11.31430866,   3.69550223,
         0.35490414,  20.78349539,  -3.11592497,  -8.63943182])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -6.88332714,  27.56334073,  -3.72684281, -16.2990759 ,
       -14.02106807,   2.09391159,   8.17977399,   8.15996305,
        20.70499003, -18.65348415,  16.45367037,  -7.85626535,
        -1.43627303,  18.34143133, -13.44206644,  -7.00357058,
        -3.93697476, -10.28388152,  -9.85657784,  -1.14493715])]";"['Control input', array([ 2.86572818,  0.1805185 ,  0.        ,  0.        ,  1.90195483,
        0.76304605, -2.04785122, -0.34705733, -2.11675964, -1.80805434,
       -1.41644414, -2.47360889,  6.26424786, 13.13682523,  0.        ,
        0.        ,  1.20001563,  1.39340216, -3.91242872, -3.39833213])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
['Step', 40];['Population', 'Targets'];"['State', array([ -5.09344145,  25.33851549,   1.58297612,   5.88419854,
        18.07204612, -17.86876298,  -3.28666501,  -1.70800771,
        13.60219265,  -7.95137614, -11.30821373,   2.06177223,
         5.02878647,   3.22332366, -11.00720308,   3.67221603,
         0.46713636,   1.42856555,  -8.73503219,  -3.37992526,
         5.95241146,   6.53948227,   1.9696286 ,   3.16371139,
         3.62680695,   2.84686707,  -0.16081556,   2.83425414,
        21.34420253, -13.1913716 ,  -7.09169641,   3.84432058,
        -2.67831717,  12.7307232 , -11.16965286,   3.74723544,
         1.60469657,  21.26730094,  -2.72654269,  -7.7866688 ])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -5.8021497 ,  27.06961555,  -3.72684281, -16.2990759 ,
       -12.99975791,   3.14160058,   7.29561927,   7.79038512,
        19.6108576 , -18.8713378 ,  15.41915925,  -8.4540508 ,
         0.44866735,  21.54678006, -13.44206644,  -7.00357058,
        -3.43133697,  -9.52529584, -10.31163804,  -2.98417991])]";"['Control input', array([ 1.47824481, -1.53121363,  0.        ,  0.        ,  1.92224792,
        3.45382164, -1.5274995 , -0.91419041, -2.11745447,  0.31381474,
       -2.1145339 , -0.52059556,  3.62975527,  3.43295742,  0.        ,
        0.        ,  0.89914609,  1.59017976,  1.03282187, -2.92903165])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
['Step', 50];['Population', 'Targets'];"['State', array([ -4.74321487,  24.41175901,   1.57048274,   5.80165584,
        17.66034484, -17.64456925,  -3.219654  ,  -1.69652537,
        12.75512574,  -7.69599887, -10.9803229 ,   1.70328597,
         5.07271027,   3.16420422, -10.2841362 ,   3.75259396,
         0.41153758,   1.31908625,  -7.6480189 ,  -3.38605489,
         5.34223172,   5.89022598,   1.99680919,   3.1864476 ,
         3.74014319,   2.86254559,  -0.12875854,   2.85703446,
        21.2558206 , -13.11304149,  -7.18714574,   3.81332883,
        -2.62911405,  12.71414201, -10.30528   ,   3.85230188,
         2.64060905,  20.16825987,  -2.38732912,  -6.88412209])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -5.25177431,  26.21695196,  -3.72684281, -16.2990759 ,
       -12.36950828,   2.96478061,   6.59613565,   7.24820361,
        21.18025105, -15.67569241,  14.44625537,  -8.46947079,
         2.09156761,  21.82356211, -13.44206644,  -7.00357058,
        -3.00762048,  -8.6533426 ,  -9.45225932,  -3.73536158])]";"['Control input', array([ 0.77598016, -1.67827127,  0.        ,  0.        ,  0.34365789,
       -3.54487577, -1.1367161 , -1.33392357,  4.12251955,  6.65790633,
       -1.74536522,  0.18456252,  2.50101914, -1.01008775,  0.        ,
        0.        ,  0.5943223 ,  1.69748816,  1.88860487, -0.59284304])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
['Step', 60];['Population', 'Targets'];"['State', array([ -4.51613213,  23.47354585,   1.42060614,   5.88071306,
        17.6088228 , -17.70506042,  -3.34054381,  -1.60222697,
        11.80617652,  -7.30312729, -10.57269457,   1.39399651,
         4.98164347,   3.18916992,  -9.69700449,   3.9534961 ,
         0.25168759,   1.39190614,  -6.63772798,  -3.14017636,
         4.71876319,   5.13812577,   2.02247174,   3.24696286,
         3.56732782,   2.82941876,  -0.0988023 ,   2.86305361,
        21.25241782, -12.90522488,  -7.23282353,   3.8612024 ,
        -2.76552284,  12.69129471,  -9.74833337,   4.071807  ,
         2.75735901,  19.18426623,  -2.00317263,  -6.00064614])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -4.90774771,  25.29714021,  -3.72684281, -16.2990759 ,
       -11.5527707 ,   3.80281606,   5.96757823,   6.53680685,
        20.88928655, -15.64149152,  13.47929436,  -8.20701045,
         2.7666076 ,  21.01150063, -13.44206644,  -7.00357058,
        -2.66301249,  -7.7460376 ,  -8.46010005,  -3.79849213])]";"['Control input', array([  0.48405922,  -1.82962713,   0.        ,   0.        ,
         1.8775012 ,   2.60068731,  -1.22714307,  -1.38346481,
        -8.43472532, -10.30377671,  -1.85451678,   0.76561938,
         0.6713553 ,  -1.76969568,   0.        ,   0.        ,
         0.82329356,   1.76905046,   1.93008901,   0.23164796])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
['Step', 70];['Population', 'Targets'];"['State', array([ -4.28775844,  22.55134809,   1.46783568,   5.88842976,
        17.17037265, -17.70498034,  -3.33149891,  -1.6146257 ,
        11.02337609,  -6.93099996, -10.26123858,   0.89449349,
         5.08841658,   3.22924608,  -9.44236582,   3.96607967,
         0.22327497,   1.48120611,  -5.70846209,  -2.89292074,
         4.1701345 ,   4.46043241,   2.05967114,   3.06149506,
         3.49389832,   2.86762136,  -0.1705563 ,   2.87531939,
        21.12671217, -12.86207851,  -7.1662474 ,   3.86064923,
        -2.77138057,  12.72082608,  -9.60270101,   4.05059737,
         2.632078  ,  18.22412805,  -1.81013495,  -5.12299652])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -4.68051576,  24.40449938,  -3.72684281, -16.2990759 ,
       -11.36549221,   3.10383597,   5.39137414,   5.81636985,
        19.96138139, -16.58637747,  12.60231858,  -7.83414726,
         2.85289213,  20.13555673, -13.44206644,  -7.00357058,
        -2.4026015 ,  -6.8471702 ,  -7.45752484,  -3.60678596])]";"['Control input', array([ 0.44359595, -1.8307384 ,  0.        ,  0.        ,  1.85041821,
        5.07340373, -1.02021662, -1.47659874,  8.02162086, 10.9962004 ,
       -1.60861626,  0.63078733, -0.15448808, -1.83430445,  0.        ,
        0.        ,  0.5428482 ,  1.76166929,  1.8748748 ,  0.4856406 ])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
['Step', 80];['Population', 'Targets'];"['State', array([ -4.23478699,  21.66732174,   1.38292696,   5.91140996,
        17.30608512, -17.55477485,  -3.25049785,  -1.61287588,
        10.19341504,  -6.64664486, -10.1220311 ,   0.37794389,
         5.08049203,   3.13632235,  -9.1603686 ,   4.13206196,
         0.33203353,   1.38906153,  -4.76773701,  -2.54377466,
         3.965274  ,   4.05050537,   2.12069243,   2.97114399,
         3.46672682,   2.88211216,  -0.30645471,   2.9527939 ,
        21.13794291, -12.45437686,  -7.24550449,   3.91998473,
        -2.69316651,  12.67098601,  -9.35681623,   4.28668078,
         2.56625264,  17.22644251,  -1.49586225,  -4.24745744])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -4.52705205,  23.48423962,  -3.72684281, -16.2990759 ,
       -11.13892756,   2.65300925,  -0.06692283,  10.56763794,
        20.65633265, -15.45731001,  11.8027306 ,  -7.51591933,
         2.78632432,  19.1310541 , -13.44206644,  -7.00357058,
        -2.11971406,  -6.00602882,  -6.51049927,  -3.35810056])]";"['Control input', array([  0.15952866,  -1.76730462,   0.        ,   0.        ,
         2.36388039,   7.61177932, -10.31182058,  11.67697711,
        -8.84013218, -10.4498605 ,  -1.61455951,   0.55971573,
        -0.17329035,  -2.03359547,   0.        ,   0.        ,
         0.63829884,   1.78631765,   1.96442552,   0.52027475])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
['Step', 90];['Population', 'Targets'];"['State', array([ -4.07692237,  20.73291386,   1.45297627,   6.00476383,
        17.29372287, -17.4124108 ,  -3.251644  ,  -1.64081576,
         9.411684  ,  -6.16148636, -10.15075742,   0.38885982,
         5.08380381,   3.18084277,  -8.80593233,   4.27834895,
         0.25032126,   1.35214756,  -3.83268709,  -2.25555122,
         4.06340651,   4.12542296,   2.07675394,   2.96723506,
         3.45277794,   2.77896127,  -0.39634759,   2.77135358,
        21.27207831, -12.57289371,  -7.29323273,   3.91286147,
        -3.82416523,  12.67473768,  -8.96448309,   4.48692283,
         2.35430828,  16.29794388,  -1.6412114 ,  -3.61181973])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -4.41978748,  22.5768558 ,  -3.72684281, -16.2990759 ,
       -11.11655832,   2.00840781,  -2.78738418,  13.29907519,
        21.15507348, -14.64807248,  10.98641022,  -7.11650752,
         2.65530222,  18.16986886, -13.44206644,  -7.00357058,
         1.72863035,   1.16085228,  -5.55472878,  -3.07208802])]";"['Control input', array([ 0.30718571, -1.77077347,  0.        ,  0.        , -1.07220311,
       -5.35077   , -4.32421346,  2.31845217,  4.29506143,  5.28118854,
       -1.52813927,  0.73462461, -0.34599858, -1.86352959,  0.        ,
        0.        , -0.03415073, 21.27548847,  1.89141988,  0.46168168])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
['Step', 100];['Population', 'Targets'];"['State', array([ -3.9860644 ,  19.81091305,   0.91309464,   7.03377404,
        17.29803276, -17.44688855,  -3.10030101,  -1.34198367,
         8.55390553,  -5.81938896,  -9.87292269,   0.2296778 ,
         5.02382774,   3.21028959,  -8.48054939,   4.37213499,
         0.11209148,   1.14318717,  -3.10078293,  -1.71947135,
         4.14959828,   4.14694839,   2.95951745,   3.33398607,
         3.76105864,   2.72694262,  -0.50559574,   2.91682192,
        21.21822479, -12.36821809,  -7.17338471,   3.90674907,
        -4.68918998,  11.42211946,  -8.7283653 ,   4.67913141,
         2.19074914,  15.32735534,  -1.61636883,  -3.66618798])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -4.27776132,  21.63700208,  -3.72684281, -16.2990759 ,
       -10.37170802,   4.14348932,  -4.47998334,  13.17387347,
        19.28203751, -16.95792326,  10.1319323 ,  -6.74725042,
         2.50767784,  17.19420096, -13.44206644,  -7.00357058,
         1.57338009,   6.3280854 ,  -3.65885044,  -3.7575929 ])]";"['Control input', array([ 0.27294017, -1.88921412,  0.        ,  0.        ,  1.59671319,
        3.930571  , -2.37547096, -1.61295675, -3.9039627 , -4.79544794,
       -1.68268348,  0.78049187, -0.41198473, -1.86733532,  0.        ,
        0.        , -1.05643061,  6.22699001,  5.2034879 , -3.47008209])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x000001DDF5FA92D0>],
      dtype=object)]"
