Date;2024-12-03 17:35:26;Config settings;{'BrownianMotion': {'N': 20, 'x0': '10 * np.random.randn(N, 2)', 'mu': '0', 'D': '0.1', 'id': 'Targets'}, 'SimpleIntegrators': {'N': 10, 'x0': '10 * np.random.randn(N, 2)', 'id': 'Herders'}, 'integrator': {'dt': 0.05}, 'simulator': {'dt': 0.05, 'T': 50}, 'environment': {'dimensions': [50, 50]}, 'renderer': {'background_color': 'white', 'agent_colors': ['blue', 'red'], 'render_mode': 'pygame', 'render_dt': 0.05}, 'logger': {'log_freq': 0, 'save_freq': 10, 'comment_enable': False, 'log_path': '/../logs', 'log_name': ''}, 'repulsion': {'ity': 3, 'dis': 2.5}};Comment;
['Step', 0];['Population', 'Targets'];"['State', array([-11.85377453,  -1.10170503,   5.95089577,  11.21252367,
         3.36873381, -24.64647101,  13.80072746,  -0.32130006,
       -10.29742895, -16.90430902,  -3.12327149,  10.41273095,
        11.94017493,  -4.62045034,  -2.29283793,   0.25131094,
       -10.09854348,  -9.54603278,  -6.82632854, -11.32752876,
        -7.77822692,  -1.64286909,  -3.15120584, -14.98383065,
         9.1303766 ,  19.62443635,  -9.45427295,  10.75870748,
         1.37287617,   8.36263334,  -3.32485685,  14.41430418,
        -1.7240608 ,  -5.45368176,  16.68223551,  -4.37115735,
        18.841456  ,  -0.61474803,  -3.51268213,  -0.48215426])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";"['External forces', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['Population', 'Herders'];"['State', array([ 20.90296969,  11.710887  ,   6.46289074,   3.10709022,
        12.94840244,   9.50350072,  -0.61560078,   0.22979633,
       -10.05265172, -17.99529521,  -1.23639365,  11.87246665,
       -18.55582611,   0.80753575, -23.2753839 ,  11.94092782,
        10.71892185,  20.93570168,   4.65766044,   0.79744635])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";"['External forces', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
['Step', 10];['Population', 'Targets'];"['State', array([-1.18711824e+01, -1.17284781e+00,  6.07753058e+00,  1.11851348e+01,
        3.40324723e+00, -2.46467799e+01,  1.40124315e+01,  1.40836595e-03,
       -1.02932938e+01, -1.65781133e+01, -3.11946932e+00,  1.05278608e+01,
        1.18711795e+01, -4.67204849e+00, -2.42390684e+00,  7.62855995e-01,
       -1.00515891e+01, -9.52820703e+00, -6.78830128e+00, -1.14718286e+01,
       -7.64853349e+00, -1.68977781e+00, -3.09839885e+00, -1.49271399e+01,
        8.65097019e+00,  1.90378897e+01, -9.55502723e+00,  1.07174264e+01,
        1.41711411e+00,  8.41495693e+00, -4.66000878e+00,  1.48890917e+01,
       -1.63803943e+00, -5.66321775e+00,  1.66751258e+01, -4.38441534e+00,
        1.87141086e+01, -6.87315664e-01, -4.00680778e+00, -1.06821442e-01])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ 17.41331748,   9.75580964,  15.62529939,  -3.12851849,
        18.62248633,   1.36078523,  -8.69557579,  -9.26668135,
         0.88228191, -24.30720112,  -3.59396989,  15.09970228,
       -14.19640479,  -0.84366157, -19.7164142 ,  10.11507607,
         9.62881968,  20.53965473,   1.93638337,  -1.12583642])]";"['Control input', array([ -6.97930442,  -3.91015471,   7.85294326,  -5.37381361,
         4.76179777,  -7.16801921,  -8.04167653, -29.7185865 ,
         9.58708367,  -5.46050421,  -4.23147287,   3.45928182,
         3.78096831,  -1.46482459,   7.11793942,  -3.6517035 ,
        -1.44728128,  -0.9734623 , -13.7878226 , -20.12325685])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
['Step', 20];['Population', 'Targets'];"['State', array([-11.16656955,  -1.31872822,   6.22204098,  11.20698062,
         4.45054151, -24.14521632,  13.94295218,   0.02637319,
       -10.23327158, -17.08283077,  -3.04570543,  10.53963848,
        11.77736584,  -4.75616067,  -2.4596086 ,   0.72538937,
       -10.29466023,  -9.55700892,  -6.83358633, -11.60514555,
        -7.61424884,  -1.77425521,  -3.09243484, -14.8864997 ,
         8.2598001 ,  18.10592386,  -9.57501268,  10.70791405,
         1.39850196,   8.48664119,  -5.90127669,  13.78269664,
        -2.32325964,  -6.15957259,  16.86629165,  -6.21703867,
        18.00657016,  -1.66063795,  -3.95827315,  -0.15995662])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ 11.83064523,   9.89992501,  17.65164484,  -5.26253982,
        19.48827309,  -0.86190745, -10.46702273, -16.05375324,
         3.5037135 , -25.43162802,  -5.55868379,  15.42259919,
       -13.06697698,  -1.24890826, -16.15744449,   8.28922432,
         9.05401131,  19.79701709,  -1.40425672,  -5.85964004])]";"['Control input', array([-17.65146847,   8.48332548,   1.6544216 ,  -4.28723556,
        -0.29998006,  -3.21417282,  -1.58160242,  -6.67165009,
         3.77769994,  -0.24203149,  -2.82907821,  -1.17755012,
         1.98269513,  -0.69018701,   7.11793942,  -3.6517035 ,
        -0.93020797,  -1.67360466,  -4.00546021,  -4.87232847])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
['Step', 30];['Population', 'Targets'];"['State', array([-10.27301799,  -1.30909814,   6.01698763,  11.19125309,
         4.84488908, -23.17685862,  13.89823054,   0.04483851,
        -8.76519167, -18.24616987,  -3.18466489,  10.58913784,
        11.69874226,  -4.73793681,  -2.38572892,   0.66402335,
       -10.40493568,  -9.50832762,  -6.88799482, -11.63320182,
        -7.74975225,  -1.87880985,  -3.22805157, -14.96869877,
         7.91270918,  17.17795148,  -9.77984093,  10.704958  ,
         1.49878755,   8.4339065 ,  -5.84290802,  12.85532209,
        -3.60741025,  -5.89257515,  15.46449411,  -6.84197541,
        16.93360428,  -2.10821773,  -4.02725357,  -0.04761887])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([  7.79810856,  11.86615781,  17.27885044,  -6.80941338,
        18.76784359,  -1.88584909, -10.17474333, -18.49176348,
         4.72033018, -24.94555174,  -8.28322965,  13.37229232,
       -12.10220444,  -1.43496086, -12.59847478,   6.46337258,
         8.66361855,  18.90652492,  -3.32768951, -11.69258702])]";"['Control input', array([ -3.81471949,   1.65444208,  -1.87252691,  -1.82818453,
        -1.86509942,  -1.41946302,   2.4036447 ,  -3.11048389,
         1.39191405,   1.5548001 ,  -8.23398845,  -6.0887862 ,
         1.76322563,  -0.14217947,   7.11793942,  -3.6517035 ,
        -0.72931315,  -1.76751373,  -0.49409942, -15.96459507])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
['Step', 40];['Population', 'Targets'];"['State', array([ -9.78298328,  -1.30743646,   5.17032883,  10.69473026,
         4.78953697, -22.18298226,  13.89290415,   0.06640097,
        -7.78174982, -17.57675341,  -3.23611721,  10.47169267,
        11.89305278,  -4.69416571,  -2.29915652,   0.67418614,
       -10.37430821,  -9.50975082,  -6.90537949, -11.50293275,
        -7.73816403,  -1.80559795,  -2.82667716, -16.4863813 ,
         7.43310892,  16.27758363,  -9.85118901,  10.06827773,
         1.42800373,   8.44989563,  -5.92910055,  12.82938519,
        -3.65328113,  -5.8932264 ,  14.46169429,  -6.68133437,
        15.93049029,  -2.20785658,  -4.11995533,  -0.0633444 ])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([  6.40641663,  12.02293233,  16.24422052,  -7.18158362,
        17.79880123,  -2.29554852,  -8.93910451, -18.92736816,
         5.00828231, -24.04710922, -10.20039849,  11.74621255,
       -11.46608963,  -6.99086779,  -8.93711131,   2.05192282,
         8.25748406,  18.00627186,  -3.40319704, -15.83572559])]";"['Control input', array([ -2.19757768,  -0.52776637,  -1.8667666 ,  -0.05922127,
        -1.86667975,  -0.28216362,   2.02704439,   0.47313867,
         0.19503593,   1.77308908,  -1.87252186,  -2.49641414,
         0.62723575, -11.91152244,  -7.40390731, -12.39520763,
        -0.9296331 ,  -1.73967541,   0.64791063,  -5.84424144])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
['Step', 50];['Population', 'Targets'];"['State', array([ -9.58231189,  -2.14052912,   4.54423014,  10.03217141,
         4.6679506 , -21.25023547,  13.99148861,   0.21960622,
        -7.32024118, -16.72910314,  -3.25227895,  10.41721528,
        11.9128563 ,  -4.69738191,  -2.2206492 ,   0.66447896,
        -9.42822987,  -9.91452086,  -6.95084713, -11.50859731,
        -7.73546481,  -1.70712832,  -0.93028349, -17.06968677,
         7.10041548,  15.40053833,  -9.91923647,  10.01194538,
         1.43659271,   8.44288078,  -5.81317577,  12.77685223,
        -3.56693324,  -5.92973224,  13.55722165,  -6.42950084,
        15.00582996,  -2.12066088,  -4.15348398,  -0.04419266])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([  5.49462735,  11.55576704,  15.27182158,  -7.11391197,
        16.84877279,  -2.32304301,  -8.17927079, -18.37611455,
         5.00007561, -23.10462114,  -8.90229242,  12.28193561,
       -10.97820964,  -9.92437879, -10.60961471,  -1.09502326,
         7.86357661,  17.12659645,  -2.14654276, -17.84224679])]";"['Control input', array([-1.50127614, -1.04500598, -1.88760686,  0.37013082, -1.82521659,
        0.01232409,  1.16265524,  1.5412558 , -0.14866543,  1.90985231,
       -6.48057354, -4.87617542,  1.77748408, -3.08533226, -1.03856412,
       -4.21813388, -0.72737141, -1.73201027,  3.42346723, -1.85407033])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
['Step', 60];['Population', 'Targets'];"['State', array([-8.48340514e+00, -2.66366082e+00,  4.16735262e+00,  9.17820417e+00,
        4.44436387e+00, -2.03940168e+01,  1.40625108e+01,  1.57420166e-01,
       -6.94763937e+00, -1.58260317e+01, -3.22739684e+00,  1.04351947e+01,
        1.19293642e+01, -4.69681229e+00, -2.20269189e+00,  6.72260830e-01,
       -8.57820313e+00, -9.42677971e+00, -6.69966023e+00, -1.16595396e+01,
       -7.56600622e+00, -1.76915990e+00, -1.07791845e-01, -1.61363929e+01,
        6.67110462e+00,  1.45819145e+01, -9.97953762e+00,  9.74771825e+00,
        1.40487443e+00,  8.48663610e+00, -5.71905961e+00,  1.27994422e+01,
       -3.58908574e+00, -5.91295521e+00,  1.28130392e+01, -5.88517208e+00,
        1.41093493e+01, -1.92823566e+00, -4.15098397e+00, -1.72274727e-02])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([  4.93703997,  10.81647881,  14.46645735,  -6.71660302,
        15.9381853 ,  -2.21324251,  -7.71722292, -17.55138185,
         4.85600849, -22.19003968,  -8.99634739,  12.09272835,
        -8.49594299, -11.92345648, -10.24081076,  -2.52081405,
         7.478079  ,  16.28649803,  -0.71174205, -17.81774188])]";"['Control input', array([-0.83331739, -1.55195207, -1.56692794,  0.97454652, -1.93950208,
        0.31489523,  0.87290628,  1.84987732, -0.37438128,  1.79929176,
        9.76535474,  6.41471344,  3.90631037, -2.77338168,  1.67202272,
       -1.76988159, -0.66829789, -1.68011363,  1.94023567,  1.11792315])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
['Step', 70];['Population', 'Targets'];"['State', array([ -7.43631114,  -2.66735552,   3.79791555,   8.31687744,
         4.37113957, -19.46297203,  13.80071018,   0.33153611,
        -6.46668423, -14.96425898,  -3.21330714,  10.4343409 ,
        11.87155402,  -4.64755218,  -2.21656786,   0.61197497,
        -8.60589992,  -9.4192207 ,  -5.72311639, -11.10421121,
        -7.45998631,  -1.78570125,   0.12718124, -15.16163322,
         6.2875022 ,  13.80831997, -10.12142695,   9.78663083,
         1.39052386,   8.426984  ,  -5.34783004,  12.75455635,
        -3.50648485,  -6.01598527,  11.9955609 ,  -5.38545398,
        13.34258815,  -1.84576847,  -4.18243155,   0.03630712])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([  4.56587129,  10.02585097,  13.66581523,  -6.20623845,
        15.37964709,  -0.54241179,  -7.30088544, -16.68147256,
         4.68711861, -21.30200764,  -9.03477554,  12.01580897,
        -7.89391403, -11.83055391,  -9.27386503,  -2.99561014,
         7.07646675,  15.486414  ,  -0.11620927, -17.02171801])]";"['Control input', array([-0.83782761, -1.68423358, -1.55380194,  1.12127784, -0.83464323,
        2.89809031,  1.00856346,  1.65197973, -0.09081591,  1.78054298,
       -6.92522241, -4.73380148, -5.55832503,  5.28213394,  2.0236617 ,
       -0.42888138, -0.69924139, -1.55292254,  0.75621272,  1.749698  ])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
['Step', 80];['Population', 'Targets'];"['State', array([ -6.55870153,  -2.47965687,   3.40625797,   7.48954759,
         4.14058053, -18.5075047 ,  12.9974817 ,   0.7327061 ,
        -6.04058051, -14.16096307,  -3.0434983 ,  10.42763602,
        11.37404844,  -4.44776037,  -2.23948746,   0.66394492,
        -8.70449413,  -8.85231405,  -5.60143755, -11.15177546,
        -6.99404017,  -1.38707147,   0.26354114, -14.18953271,
         5.86567168,  12.9035474 , -10.1385517 ,   9.24814577,
         1.36141686,   8.34338462,  -5.4309073 ,  12.78907985,
        -3.5410083 ,  -6.07506923,  11.20514342,  -4.94590663,
        13.06903149,  -1.98912342,  -4.14704216,   0.11609103])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([  3.80926743,   9.29383053,  12.88310638,  -5.75117741,
        14.74449495,  -1.11015972,  -6.80251738, -15.8451672 ,
         4.526115  , -20.36085771,  -8.19866893,  12.42225172,
        -7.60083627, -11.48859611,  -8.49475315,  -2.55830682,
         6.65100925,  14.62939777,   0.15451486, -16.07815851])]";"['Control input', array([-8.02778741,  0.87522348, -1.54973881,  1.01983699, -1.27530442,
       -3.57223575,  0.92655113,  1.60664629, -0.39250718,  1.92765623,
        8.08623647,  5.34343784,  4.94577725, -2.79531493,  0.8686313 ,
        2.88298928, -0.89992029, -1.85060436,  0.48926409,  1.831584  ])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
['Step', 90];['Population', 'Targets'];"['State', array([ -6.05879737,  -2.12339517,   3.35286758,   7.05658765,
         3.94832513, -17.54138555,  12.74753446,   1.08636273,
        -5.5568157 , -13.37196818,  -3.02918164,  10.3816966 ,
        10.71966467,  -3.82234572,  -2.2921197 ,   0.63743657,
        -8.82068511,  -8.44919606,  -5.38293944, -11.0286999 ,
        -6.68526829,  -1.30115495,   0.10333811, -13.28648114,
         5.42870104,  12.05696178, -10.08928935,   9.3427335 ,
         0.85355211,   7.85356317,  -5.04521837,  12.68783335,
        -3.394619  ,  -6.02347251,  10.33671908,  -4.78992288,
        12.58336803,  -2.1816952 ,  -4.1230874 ,   0.04117299])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([  0.52353614,  10.0247871 ,  12.19914814,  -5.04598923,
        14.29199075,   0.15269241,  -6.35544149, -15.05065531,
         4.36643938, -19.42498168,  -8.78593018,  11.83828456,
        -8.41006918, -10.57247183,  -5.27828678,  -5.7903092 ,
         6.2475366 ,  13.76513177,   0.18841146, -15.16114168])]";"['Control input', array([-13.76616394,   5.49172634,  -0.83044699,   2.6142165 ,
        -0.72396274,   3.24905973,   0.98459367,   1.5011865 ,
        -0.48321023,   2.02048069,  -7.79112587,  -5.82909799,
         8.76322116,  -5.57216734,   4.31525158,  -4.58177653,
        -0.8635041 ,  -1.73965948,  -0.16312119,   1.79217896])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
['Step', 100];['Population', 'Targets'];"['State', array([-5.96554211e+00, -1.90441456e+00,  3.32197840e+00,  7.02094910e+00,
        3.81561228e+00, -1.66757891e+01,  1.17681422e+01,  1.41532810e+00,
       -5.02637471e+00, -1.26547482e+01, -3.45868800e+00,  1.00567955e+01,
        1.05446534e+01, -3.71706020e+00, -2.22934653e+00,  7.33788176e-01,
       -8.98568339e+00, -8.36831229e+00, -5.06851148e+00, -1.10878514e+01,
       -6.73342833e+00, -1.25861016e+00,  1.99688424e-03, -1.23299189e+01,
        5.03504373e+00,  1.12086729e+01, -9.96371419e+00,  8.62785440e+00,
        8.79951824e-01,  7.85706306e+00, -5.42312789e+00,  1.28329304e+01,
       -3.02359876e+00, -5.96386956e+00,  1.01622289e+01, -4.79577678e+00,
        1.23206972e+01, -1.39048322e+00, -4.18112517e+00,  8.59747286e-03])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -4.13297504,  12.85710201,  13.48022475,  -2.5909441 ,
        13.62142   ,   1.19104775,  -5.83261102, -14.28564504,
         4.16903481, -18.50131802, -10.57983733,  10.24425314,
        -8.60451064, -10.24613274,  -6.89383389,  -3.10751977,
         5.82124551,  12.92871103,   0.08176854, -14.19286163])]";"['Control input', array([-5.8135204 ,  3.86690702,  0.57643196,  3.38969358, -1.78331445,
        1.2239587 ,  1.07224842,  1.42051838, -0.32138292,  1.80222657,
       -1.40501045, -2.41449821, -4.59922894,  3.38264361, -3.71395209,
        5.28757504, -0.66714561, -1.61431769, -0.18920166,  1.97913254])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000021190954990>],
      dtype=object)]"
